"PREC","pop_total","pop_hisp_pct","pop_income","pop_college_pct","VR_total_2020","VR_hisp_pct_2020","VR_turnout_2020","votes_trump_2020","votes_biden_2020","votes_trump_pct_2020","votes_biden_pct_2020","votes_total_2020","VR_total_2016","VR_hisp_pct_2016","VR_turnout_2016","votes_trump_2016","votes_clinton_2016","votes_trump_pct_2016","votes_total_2016","votes_clinton_pct_2016","votes_trump_difference"
"4019",6775.45772493333,78.2561724709355,28662.9419011407,7.12299029820975,2903,64.5,50.7406131588012,446,1008,30.2783435166327,68.4317718940937,1473,2658,63.6,45.071482317532,338,820,28.2136894824708,1198,68.4474123539232,2.06465403416194
"3108",2426.53112908899,17.579408543264,112368,41.9525065963061,1552,20.3,80.3479381443299,687,545,55.0922213311949,43.7048917401764,1247,1468,19.8,71.2534059945504,610,357,58.3173996175908,1046,34.1300191204589,-3.22517828639595
"2031",4667.22599324433,99.0888382687927,23423,0.893266147503436,1694,85.4,42.5029515938607,144,565,20,78.4722222222222,720,1598,88.1,39.9249061326658,85,538,13.3228840125392,638,84.3260188087774,6.67711598746081
"2033",3310.7413509061,73.1620903454384,16712,2.90723479804705,1423,54,25.4392129304287,78,276,21.5469613259669,76.2430939226519,362,989,60.9,30.535894843276,41,250,13.5761589403974,302,82.7814569536424,7.9708023855695
"1003",3823.41784878697,82.7630156214151,45862.6446013533,23.3004953202206,2263,60.2,61.5112682280159,269,1107,19.3247126436782,79.5258620689655,1392,1772,72.9,50.3386004514673,137,709,15.3587443946188,892,79.4843049327354,3.96596824905933
"1098",1807.54944178628,87.6786929884275,42454,18.5537828100875,913,82.3,52.026286966046,84,389,17.6842105263158,81.8947368421053,475,923,85,42.0368364030336,43,326,11.0824742268041,388,84.020618556701,6.60173629951166
"2001",2430,88.8888888888889,10518,9.79591836734694,954,74.6,38.0503144654088,76,284,20.9366391184573,78.236914600551,363,893,78.6,37.9619260918253,45,277,13.2743362831858,339,81.7109144542773,7.66230283527146
"2070",4763.65446665816,98.8072297386295,22575.797044335,1.95339179402384,2152,87.9,44.8884758364312,178,774,18.4265010351967,80.1242236024845,966,2152,89.4,39.4981412639405,85,733,10,850,86.2352941176471,8.42650103519669
"2002",2439.53437040151,98.6577181208054,22126,2.51623376623377,1245,87.3,50.5220883534137,145,482,23.0524642289348,76.6295707472178,629,1242,89.4,45.0885668276973,77,463,13.75,560,82.6785714285714,9.30246422893481
"2005",1740.99463283728,82.9262827694376,37009,15.5143896791267,951,70.5,64.5636172450053,127,473,20.6840390879479,77.0358306188925,614,949,78.2,55.0052687038988,89,407,17.0498084291188,522,77.9693486590038,3.63423065882911
"2013",2244.84911003394,96.0353520763458,54938.0683639793,13.5814245526213,1183,80.6,57.5655114116653,149,520,21.8795888399413,76.3582966226138,681,1140,83.2,51.3157894736842,117,438,20,585,74.8717948717949,1.87958883994126
"4179",4353.24391929432,44.3919151308813,74082.5443930917,30.3378814213515,2921,33.1,69.7706264977747,928,1063,45.5348380765456,52.1589793915604,2038,2761,31.5,64.2520825787758,876,779,49.379932356257,1774,43.9120631341601,-3.84509427971141
"3172",864.946366520622,55.3140916808149,53552,23.6382322713258,604,40.6,66.887417218543,131,264,32.4257425742574,65.3465346534654,404,540,36.3,58.1481481481482,126,166,40.1273885350318,314,52.8662420382166,-7.70164596077442
"4108",6399,49.7577746522894,53763,18.4981226533166,3781,34.3,60.6717799523935,948,1304,41.3251961639058,56.8439407149085,2294,3446,33.5,54.9912942542078,879,881,46.3852242744063,1895,46.490765171504,-5.06002811050049
"4095",3051.39302518683,56.5535988653823,58006,17.1679197994987,1758,38.5,66.382252559727,508,636,43.5304198800343,54.4987146529563,1167,1644,35.5,58.698296836983,477,428,49.4300518134715,965,44.3523316062176,-5.89963193343723
"4169",485.831038798498,49.7322111706197,54160,28.7023460410557,359,24.5,70.4735376044568,140,110,55.3359683794466,43.4782608695652,253,370,20,63.5135135135135,134,90,57.0212765957447,235,38.2978723404255,-1.68530821629805
"4172",2727.50298212192,49.3213020708348,67023.9007205765,25.0900563657463,1487,37.5,62.9455279085407,413,508,44.1239316239316,54.2735042735043,936,1312,35.6,54.344512195122,309,350,43.3380084151473,713,49.0883590462833,0.785923208784361
"2008",2699.89181391994,93.2058823529412,29667,7.44514106583072,1117,89.5,50.1342882721576,132,414,23.5714285714286,73.9285714285714,560,1103,90.1,42.520398912058,75,381,15.9914712153518,469,81.2366737739872,7.57995735607676
"2011",3168.10355377736,94.6330777656079,35523,13.1079967023908,2071,81.9,45.7267020762916,195,737,20.5913410770855,77.8247096092925,947,2106,83.8,38.6039886039886,126,656,15.4981549815498,813,80.6888068880689,5.09318609553572
"2079",2002.23584565453,93.2058823529412,29667,7.44514106583072,717,87.4,41.5620641562064,41,252,13.758389261745,84.5637583892617,298,708,90.4,34.0395480225989,23,208,9.54356846473029,241,86.3070539419087,4.21482079701468
"2015",3904.96859964548,96.1547647480296,23489,2.64529058116232,1939,89,43.6307374935534,187,643,22.1040189125296,76.0047281323877,846,1908,90.9,37.1069182389937,88,590,12.4293785310734,708,83.3333333333333,9.6746403814561
"2074",2137.71300448431,98.279792746114,34286,5.96285434995112,1156,88.3,44.8961937716263,120,393,23.121387283237,75.7225433526011,519,1146,90.8,36.5619546247818,74,339,17.6610978520286,419,80.9069212410501,5.46028943120836
"2014",2199.03891143471,96.0974509361606,55023,13.572267920094,1231,81.8,55.3208773354996,173,504,25.4038179148311,74.0088105726872,681,1203,82.3,51.2053200332502,139,445,22.5649350649351,616,72.2402597402597,2.83888284989607
"2022",2901.47556343378,93.6339736367886,30045.5781577111,4.93535737655607,1606,87.4,47.2602739726027,170,583,22.3978919631094,76.8115942028985,759,1599,88.4,38.2739212007505,102,486,16.6666666666667,612,79.4117647058823,5.73122529644269
"2023",5111,82.8800626100567,34171,9.16,2766,80,53.2899493853941,331,1115,22.4559023066486,75.6445047489824,1474,2963,80.2,49.7806277421532,284,1102,19.2542372881356,1475,74.7118644067797,3.20166501851298
"2016",3303.94601226994,98.8430268918074,30000,6.52400835073069,1330,89.8,41.8045112781955,91,461,16.3669064748201,82.9136690647482,556,1355,91.9,34.6863468634686,52,403,11.063829787234,470,85.7446808510638,5.3030766875861
"4002",1846.1324278438,80.6643356643357,33148,12.2557726465364,1078,70.6,44.8979591836735,113,366,23.3471074380165,75.6198347107438,484,1012,73.8,38.6363636363636,74,298,18.925831202046,391,76.2148337595908,4.42127623597049
"4003",3320.30794318093,80.6488691723483,37621.0353097935,14.6512184602888,1497,56.7,46.6933867735471,113,574,16.1659513590844,82.1173104434907,699,1377,51.8,37.6906318082789,66,423,12.7167630057803,519,81.5028901734104,3.44918835330406
"4029",4731.59628770302,84.713081427045,38515.4226397588,13.6355831975361,2534,65.7,48.3030781373323,223,983,18.218954248366,80.3104575163399,1224,2371,66.1,40.0253057781527,134,785,14.1201264488936,949,82.7186512118019,4.09882779947244
"4012",1827.88386482627,67.5182481751825,25047,9.62850644427597,976,43.2,44.2622950819672,85,343,19.6759259259259,79.3981481481482,432,880,39.4,34.3181818181818,45,243,14.9006622516556,302,80.4635761589404,4.7752636742703
"4176",1496.6177918644,51.5531114326091,59628.9949892627,23.8863974989471,989,26.2,73.7108190091001,371,347,50.8916323731139,47.599451303155,729,940,24.6,64.8936170212766,332,248,54.4262295081967,610,40.655737704918,-3.53459713508286
"1004",1970.92812105927,90.1781635449977,43458,7.15282623866015,999,82.3,51.7517517517518,117,396,22.6305609284333,76.5957446808511,517,910,85.9,43.4065934065934,55,331,13.9240506329114,395,83.7974683544304,8.70651029552188
"1028",2218.20174968756,97.74938289531,35614,4.19301944249239,1021,82.3,51.9098922624878,147,380,27.7358490566038,71.6981132075472,530,1020,83.2,43.4313725490196,87,339,19.6388261851016,443,76.5237020316027,8.09702287150219
"1005",1673.90870113493,90.1781635449977,43458,7.15282623866015,857,84.9,52.5087514585764,100,343,22.2222222222222,76.2222222222222,450,787,87.3,44.7268106734435,56,288,15.9090909090909,352,81.8181818181818,6.31313131313131
"1097",1765.41124040604,88.5434056761269,36250,2.37109522017313,853,87,49.5896834701055,125,289,29.5508274231678,68.3215130023641,423,804,88.4,44.1542288557214,92,254,25.9154929577465,355,71.5492957746479,3.63533446542137
"1006",5018.8948297604,95.8277263950402,32999.7358302122,5.5798776958805,2185,87.5,53.7299771167048,298,863,25.3833049403748,73.5093696763203,1174,2185,89.9,47.8718535469108,182,833,17.3996175908222,1046,79.6367112810707,7.9836873495526
"1015",3036.68630692206,96.4189913171727,43061.2117424242,7.86648723444479,1486,90.4,49.1251682368775,168,554,23.013698630137,75.8904109589041,730,1477,91.5,40.1489505754909,117,455,19.7301854974705,593,76.7284991568297,3.2835131326665
"1014",3059.65321813976,98.9419879727668,45528.3796366389,9.98642663165604,1436,86.4,45.5431754874652,127,519,19.4189602446483,79.3577981651376,654,1387,89,38.9329488103821,77,451,14.2592592592593,540,83.5185185185185,5.15970098538906
"1007",2528.7674512987,93.3466733366683,44489,16.3841807909604,1309,87.4,59.8930481283422,186,594,23.7244897959184,75.765306122449,784,1286,89.4,52.1772939346812,152,504,22.6527570789866,671,75.1117734724292,1.07173271693178
"2128",5950.06085582817,92.6556194416391,41900.5462091865,5.65403086985616,2587,83.8,47.6613838422884,313,904,25.3852392538524,73.3171127331711,1233,2272,86.1,38.6443661971831,146,697,16.628701594533,878,79.3849658314351,8.75653765931936
"2024",4273,89.1645214135268,36225,9.8504837291117,1904,75.5,53.3088235294118,290,706,28.5714285714286,69.5566502463054,1015,1816,78.4,47.0264317180617,210,602,24.5901639344262,854,70.4918032786885,3.98126463700234
"2047",2541.48061282391,83.1316187594554,28455,21.0358565737052,1646,66.2,68.8335358444715,300,819,26.4783759929391,72.2859664607237,1133,1593,67.5,61.6446955430006,253,693,25.7637474541751,982,70.5702647657841,0.714628538763954
"2046",3088.84891304348,70.4289799809342,53669,25.7948717948718,2092,67.2,72.6099426386233,409,1089,26.9256089532587,71.6919025674786,1519,2031,70.4,63.8601674052191,312,923,24.0555127216654,1297,71.1642251349268,2.87009623159334
"1077",3340.45556006494,93.3466733366683,44489,16.3841807909604,1688,85.7,55.5094786729858,222,699,23.692636072572,74.5997865528282,937,1652,87.2,50.363196125908,140,665,16.8269230769231,832,79.9278846153846,6.86571299564896
"4024",5223.55288018843,78.2978349644852,42567.0207100592,10.5157924793714,2861,62,58.37119888151,554,1092,33.1736526946108,65.3892215568862,1670,2653,60.9,52.6573690162081,463,880,33.142448103078,1397,62.992125984252,0.0312045915327559
